,cell1,cell2,score,dataset1,dataset2,name1,name2
1196,487,94,1,1,2,Cell487,Cell594
1197,487,413,0.75,1,2,Cell487,Cell913
1198,487,21,0.833333333333333,1,2,Cell487,Cell521
1199,488,331,0.75,1,2,Cell488,Cell831
1200,488,444,0.666666666666667,1,2,Cell488,Cell944
1201,488,320,0.583333333333333,1,2,Cell488,Cell820
1202,489,25,1,1,2,Cell489,Cell525
1203,489,427,0.916666666666667,1,2,Cell489,Cell927
1204,490,236,1,1,2,Cell490,Cell736
1205,490,155,1,1,2,Cell490,Cell655
1206,491,59,1,1,2,Cell491,Cell559
1207,491,415,1,1,2,Cell491,Cell915
1208,492,19,0.666666666666667,1,2,Cell492,Cell519
1209,492,386,0.25,1,2,Cell492,Cell886
1210,492,181,0.833333333333333,1,2,Cell492,Cell681
1211,492,26,0.25,1,2,Cell492,Cell526
1212,493,433,0.416666666666667,1,2,Cell493,Cell933
1213,493,172,0.25,1,2,Cell493,Cell672
1214,494,98,0.333333333333333,1,2,Cell494,Cell598
1215,495,122,0.75,1,2,Cell495,Cell622
1216,495,96,0.583333333333333,1,2,Cell495,Cell596
1217,495,112,0.166666666666667,1,2,Cell495,Cell612
1218,495,288,0.583333333333333,1,2,Cell495,Cell788
1219,495,80,0.583333333333333,1,2,Cell495,Cell580
1220,496,340,0.916666666666667,1,2,Cell496,Cell840
1221,497,249,0,1,2,Cell497,Cell749
1222,497,240,0.75,1,2,Cell497,Cell740
1223,497,342,0.916666666666667,1,2,Cell497,Cell842
1224,498,35,0.75,1,2,Cell498,Cell535
1225,498,395,0.333333333333333,1,2,Cell498,Cell895
1226,498,449,1,1,2,Cell498,Cell949
1227,499,403,0.416666666666667,1,2,Cell499,Cell903
1228,499,370,0.416666666666667,1,2,Cell499,Cell870
1229,499,293,0.166666666666667,1,2,Cell499,Cell793
1230,500,386,0.75,1,2,Cell500,Cell886
1231,500,203,0.833333333333333,1,2,Cell500,Cell703
1232,500,437,0.5,1,2,Cell500,Cell937
1233,500,173,0.583333333333333,1,2,Cell500,Cell673
1234,219,1,0.916666666666667,2,1,Cell719,Cell1
1235,244,1,0.833333333333333,2,1,Cell744,Cell1
1236,385,2,0.916666666666667,2,1,Cell885,Cell2
1237,193,2,1,2,1,Cell693,Cell2
1238,399,2,0.666666666666667,2,1,Cell899,Cell2
1239,379,2,0.583333333333333,2,1,Cell879,Cell2
1240,217,3,0.666666666666667,2,1,Cell717,Cell3
1241,236,3,0.916666666666667,2,1,Cell736,Cell3
1242,81,3,0.5,2,1,Cell581,Cell3
1243,182,4,1,2,1,Cell682,Cell4
1244,414,4,0.916666666666667,2,1,Cell914,Cell4
1245,149,4,0.75,2,1,Cell649,Cell4
1246,229,5,0.0833333333333333,2,1,Cell729,Cell5
1247,136,5,1,2,1,Cell636,Cell5
1248,270,5,0.833333333333333,2,1,Cell770,Cell5
1249,325,5,0.5,2,1,Cell825,Cell5
1250,137,6,0.75,2,1,Cell637,Cell6
1251,108,6,0.333333333333333,2,1,Cell608,Cell6
1252,115,7,0.75,2,1,Cell615,Cell7
1253,240,7,0.833333333333333,2,1,Cell740,Cell7
1254,57,7,0.5,2,1,Cell557,Cell7
1255,311,8,0.75,2,1,Cell811,Cell8
1256,112,8,0.75,2,1,Cell612,Cell8
1257,405,9,0.833333333333333,2,1,Cell905,Cell9
1258,28,9,0.833333333333333,2,1,Cell528,Cell9
1259,70,10,1,2,1,Cell570,Cell10
1260,9,10,1,2,1,Cell509,Cell10
1261,205,10,0.666666666666667,2,1,Cell705,Cell10
1262,406,10,0.666666666666667,2,1,Cell906,Cell10
1263,38,11,0.333333333333333,2,1,Cell538,Cell11
1264,128,11,0.5,2,1,Cell628,Cell11
1265,48,11,0.166666666666667,2,1,Cell548,Cell11
